English,Kana,Kanji,Help Text,Type,Source,Section
Korea,かんこく,韓国,Country,Vocabulary,UDEMY_N5,1
Malaysia,マレーシア,,Country,Vocabulary,UDEMY_N5,1
Mexico,メキシコ,,Country,Vocabulary,UDEMY_N5,1
Russia,ロシア,,Country,Vocabulary,UDEMY_N5,1
English,えいご,英語,Language,Vocabulary,UDEMY_N5,1
Portuguese,ポルトガルご,ポルトガル語,Language,Vocabulary,UDEMY_N5,1
French,フランスご,フランス語,Language,Vocabulary,UDEMY_N5,1
Chinese,ちゅうごくご,中国語,Language,Vocabulary,UDEMY_N5,1
Arabic,アラビアご,アラビア語,Language,Vocabulary,UDEMY_N5,1
German,ドイツご,ドイツ語,Language,Vocabulary,UDEMY_N5,1
Indonesian,インドネシアご,インドネシア語,Language,Vocabulary,UDEMY_N5,1
Hindi,ヒンディーご,ヒンディー語,Language,Vocabulary,UDEMY_N5,1
Italian,イタリアご,イタリア語,Language,Vocabulary,UDEMY_N5,1
Japanese,にほんご,日本語,Language,Vocabulary,UDEMY_N5,1
Korean,かんこくご,韓国語,Language,Vocabulary,UDEMY_N5,1
Malaysian,マレーシアご,マレーシア語,Language,Vocabulary,UDEMY_N5,1
Spanish,スペインご,スペイン語,Language,Vocabulary,UDEMY_N5,1
Russian,ロシアご,ロシア語,Language,Vocabulary,UDEMY_N5,1
Thai,タイご,タイ語,Language,Vocabulary,UDEMY_N5,1
Vietnamese,ベトナムご,ベトナム語,Language,Vocabulary,UDEMY_N5,1
Singapore,シンガポール,,Country,Vocabulary,UDEMY_N5,1
Spain,スペイン,,Country,Vocabulary,UDEMY_N5,1
Thailand,タイ,,Country,Vocabulary,UDEMY_N5,1
Vietnam,ベトナム,,Country,Vocabulary,UDEMY_N5,1
no,いいえ,,,Vocabulary,UDEMY_N5,2
same,おなじ,同じ,,Vocabulary,UDEMY_N5,2
company,かいしゃ,会社,,Vocabulary,UDEMY_N5,2
work,しごと,仕事,,Vocabulary,UDEMY_N5,2
information / materials,しりょう,資料,,Vocabulary,UDEMY_N5,2
magazine,ざっし,雑誌,,Vocabulary,UDEMY_N5,2
newspaper,しんぶん,新聞,,Vocabulary,UDEMY_N5,2
photograph,しゃしん,写真,,Vocabulary,UDEMY_N5,2
umbrella,かさ,傘,,Vocabulary,UDEMY_N5,2
bag,かばん,鞄,,Vocabulary,UDEMY_N5,2
tomorrow,あした,明日,,Vocabulary,UDEMY_N5,2
Ah! / Oh!,ああ,,,Vocabulary,UDEMY_N5,2
"please, here you are",どうぞ,,,Vocabulary,UDEMY_N5,2
to enter,はいる,入る,,Vocabulary,UDEMY_N5,2
tea,おちゃ,お茶,,Vocabulary,UDEMY_N5,2
water,みず,水,,Vocabulary,UDEMY_N5,2
black tea,こうちゃ,紅茶,,Vocabulary,UDEMY_N5,2
juice,ジュース,,,Vocabulary,UDEMY_N5,2
this,この,,for noun,Vocabulary,UDEMY_N5,2
that,その,,Near for noun,Vocabulary,UDEMY_N5,2
that,あの,,Far for noun,Vocabulary,UDEMY_N5,2
which,どの,,,Vocabulary,UDEMY_N5,2
this,これ,,for direction,Vocabulary,UDEMY_N5,2
that,それ,,near for direction,Vocabulary,UDEMY_N5,2
that,あれ,,far for direction,Vocabulary,UDEMY_N5,2
which,どれ,,,Vocabulary,UDEMY_N5,2
human / people,ひと,人,,Vocabulary,UDEMY_N5,2
beautiful,きれい,綺麗,,Vocabulary,UDEMY_N5,2
family,かぞく,家族,,Vocabulary,UDEMY_N5,2
how many people,なんにん,何人,,Vocabulary,UDEMY_N5,2
all,ぜんぶ,全部,,Vocabulary,UDEMY_N5,2
ten,じゅう,十,,Vocabulary,UDEMY_N5,2
hundred,ひゃく,百,,Vocabulary,UDEMY_N5,2
thousand,せん,千,,Vocabulary,UDEMY_N5,2
ten thousand,まん,万,,Vocabulary,UDEMY_N5,2
and / with,と,,a particle,Vocabulary,UDEMY_N5,2
who,だれ,誰,,Vocabulary,UDEMY_N5,2
Yes. Who is it?,はい。 どなたですか。,,,Phrase,UDEMY_N5,2
"Hello. It's your colleague, Raj.",こんにちは、おなじかいしゃの ラジです。,,,Phrase,UDEMY_N5,2
"Ah, Raj, Hello.",ああ、ラジさん、こんにちは。,,,Phrase,UDEMY_N5,2
"here, the materials for tomorrow.",これ、あしたの しごとの しりょうです。,,,Phrase,UDEMY_N5,2
Please have some tea.,おちゃです。 どうぞ。,,,Phrase,UDEMY_N5,2
This person is my mother.,このひとは わたしの はは です。,,,Phrase,UDEMY_N5,2
Your mother? She is pretty.,おかあさんですか、きれいですね。,,,Phrase,UDEMY_N5,2
Is this person your younger brother?,このひとは おとうとさんですか。,,,Phrase,UDEMY_N5,2
This person is not my younger brother. This person is my elder brother.,"このひとは おとうとじゃ ありません。このひとは あにです。",,,Phrase,UDEMY_N5,2
How many people are there in your family?,ごかぞくは なんにん ですか。,,,Phrase,UDEMY_N5,2
"Father, Mother, my older brother and myself. I have 4 members in my family.",ちち、はは、あにと わたしです。 ぜんぶで 4 にんです。,,,Phrase,UDEMY_N5,2
My wife and myself. Two members.,わたしとつまの ふたりです。,,,Phrase,UDEMY_N5,2
May I come in?,ごめんください。,,,Phrase,UDEMY_N5,2
Thank you.,"ありがとう ございます。",,,Phrase,UDEMY_N5,2
Please come in.,どうぞ 入ってください。,,,Phrase,UDEMY_N5,2
Excuse me for disturbing you.,おじゃまします。,,,Phrase,UDEMY_N5,2
Please.,どうぞ。,,,Phrase,UDEMY_N5,2
"Expression of gratitude before a meal.",いただきます。,,,Phrase,UDEMY_N5,2
How many people are there in your family?,ごかぞくは なんにんですか。,,,Phrase,UDEMY_N5,2
"These are tomorrow's work materials, right?",あしたの しごとの しりょうですね。,,,Phrase,UDEMY_N5,2
"You came from India, didn't you?",インドから きましたね。,,,Phrase,UDEMY_N5,2
"Miss Kim is Korean, isn't she？",キムさんは かんこくじんですね。,,,Phrase,UDEMY_N5,2
This umbrella,このかさ,,,Phrase,UDEMY_N5,2
That umbrella,そのかさ,,Near listener,Phrase,UDEMY_N5,2
That umbrella,あのかさ,,Far away,Phrase,UDEMY_N5,2
"Who is this person?",このひとは だれですか,,,Phrase,UDEMY_N5,2
That bag is beautiful.,あのかばんは きれいです。,,,Phrase,UDEMY_N5,2
That person is my father.,そのひとは わたしの ちちです。,,,Phrase,UDEMY_N5,2
which umbrella,どのかさ ,,,Phrase,UDEMY_N5,2
which magazine,どのざっし,,,Phrase,UDEMY_N5,2
Whose water is this?,これは だれの みずですか,,,Phrase,UDEMY_N5,2
That is juice.,あれは ジュースです。,,,Phrase,UDEMY_N5,2
That is not my job.,それは わたしの しごとでは ありません。,,,Phrase,UDEMY_N5,2
Which ones are Mr. Yamada's materials?,やまださんの しりょうは どれですか。,,,Phrase,UDEMY_N5,2
grandmother,そぼ,,In relation to you,Vocabulary,UDEMY_N5,2
grandfather,そふ,,In relation to you,Vocabulary,UDEMY_N5,2
mother,はは,母,In relation to you,Vocabulary,UDEMY_N5,2
father,ちち,父,In relation to you,Vocabulary,UDEMY_N5,2
younger sister,いもうと,妹,In relation to you,Vocabulary,UDEMY_N5,2
younger brother,おとうと,弟,In relation to you,Vocabulary,UDEMY_N5,2
elder sister,あね,,In relation to you,Vocabulary,UDEMY_N5,2
elder brother,あに,兄,In relation to you,Vocabulary,UDEMY_N5,2
wife,つま,妻,In relation to you,Vocabulary,UDEMY_N5,2
husband,おっと,,In relation to you,Vocabulary,UDEMY_N5,2
Me / I,わたし,,In relation to you,Vocabulary,UDEMY_N5,2
daughter,むすめ,,In relation to you,Vocabulary,UDEMY_N5,2
son,むすこ,,In relation to you,Vocabulary,UDEMY_N5,2
grandmother,おばあさん,,In relation to someone else,Vocabulary,UDEMY_N5,2
grandfather,おじいさん,,In relation to someone else,Vocabulary,UDEMY_N5,2
mother,おかあさん,お母さん,In relation to someone else,Vocabulary,UDEMY_N5,2
father,おとうさん,お父さん,In relation to someone else,Vocabulary,UDEMY_N5,2
younger sister,いもうとさん,妹さん,In relation to someone else,Vocabulary,UDEMY_N5,2
younger brother,おとうとさん,弟さん,In relation to someone else,Vocabulary,UDEMY_N5,2
elder sister,おねえさん,お姉さん,In relation to someone else,Vocabulary,UDEMY_N5,2
elder brother,おにいさん,お兄さん,In relation to someone else,Vocabulary,UDEMY_N5,2
wife,おくさん,奥さん,In relation to someone else,Vocabulary,UDEMY_N5,2
husband,ごしゅじん,,In relation to someone else,Vocabulary,UDEMY_N5,2
daughter,むすめさん,,In relation to someone else,Vocabulary,UDEMY_N5,2
son,むすこさん,,In relation to someone else,Vocabulary,UDEMY_N5,2
1 person,ひとり,1 人,,Vocabulary,UDEMY_N5,2
2 people,ふたり,2 人,,Vocabulary,UDEMY_N5,2
3 people,さんにん,3 人,,Vocabulary,UDEMY_N5,2
4 people,よにん,4 人,,Vocabulary,UDEMY_N5,2
5 people,ごにん,5 人,,Vocabulary,UDEMY_N5,2
6 people,ろくにん,6 人,,Vocabulary,UDEMY_N5,2
7 people,ななにん,7 人,,Vocabulary,UDEMY_N5,2
8 people,はちにん,8 人,,Vocabulary,UDEMY_N5,2
9 people,きゅうにん,9 人,,Vocabulary,UDEMY_N5,2
10 people,じゅうにん,10 人,,Vocabulary,UDEMY_N5,2
overseas,かいがい,海外,,Vocabulary,UDEMY_N5,3
department,ぶ,部,suffix,Vocabulary,UDEMY_N5,3
office work,じむ,,,Vocabulary,UDEMY_N5,3
pocket notebook,てちょう,,,Vocabulary,UDEMY_N5,3
notebook,ノート,,,Vocabulary,UDEMY_N5,3
business card,めいし,名刺,,Vocabulary,UDEMY_N5,3
fountain pen,まんねんひつ,万年筆,,Vocabulary,UDEMY_N5,3
pencil,えんぴつ,鉛筆,,Vocabulary,UDEMY_N5,3
ballpoint pen,ボールペン,,,Vocabulary,UDEMY_N5,3
personal computer,パソコン,,,Vocabulary,UDEMY_N5,3
computer,コンピューター,,,Vocabulary,UDEMY_N5,3
desk,つくえ,机,,Vocabulary,UDEMY_N5,3
chair,いす,椅子,,Vocabulary,UDEMY_N5,3
clock,とけい,時計,,Vocabulary,UDEMY_N5,3
picture,え,絵,,Vocabulary,UDEMY_N5,3
cat,ねこ,猫,,Vocabulary,UDEMY_N5,3
dog,いぬ,犬,,Vocabulary,UDEMY_N5,3
top / on / above,うえ,上,location,Vocabulary,UDEMY_N5,3
under / below,した,下,location,Vocabulary,UDEMY_N5,3
left,ひだり,左,location,Vocabulary,UDEMY_N5,3
right,みぎ,右,location,Vocabulary,UDEMY_N5,3
next to,となり,隣,,Vocabulary,UDEMY_N5,3
meeting,かいぎ,会議,,Vocabulary,UDEMY_N5,3
meeting room,かいぎしつ,会議室,,Vocabulary,UDEMY_N5,3
A.M. / morning,ごぜん,午前,In relation to time,Vocabulary,UDEMY_N5,3
P.M. / afternoon,ごご,午後,In relaiton to time,Vocabulary,UDEMY_N5,3
here,ここ,,,Vocabulary,UDEMY_N5,3
