English,Kana,Kanji,Help Text,Source,Section
Vietnamese,ベトナムご,ベトナム語,Language,UDEMY_N5,1
Singapore,シンガポール,,Country,UDEMY_N5,1
Spain,スペイン,,Country,UDEMY_N5,1
Thailand,タイ,,Country,UDEMY_N5,1
Vietnam,ベトナム,,Country,UDEMY_N5,1
no,いいえ,,,UDEMY_N5,2
same,おなじ,同じ,,UDEMY_N5,2
company,かいしゃ,会社,,UDEMY_N5,2
work,しごと,仕事,,UDEMY_N5,2
information / materials,しりょう,資料,,UDEMY_N5,2
magazine,ざっし,雑誌,,UDEMY_N5,2
newspaper,しんぶん,新聞,,UDEMY_N5,2
photograph,しゃしん,写真,,UDEMY_N5,2
umbrella,かさ,傘,,UDEMY_N5,2
bag,かばん,鞄,,UDEMY_N5,2
tomorrow,あした,明日,,UDEMY_N5,2
Ah! / Oh!,ああ,,,UDEMY_N5,2
"please, here you are",どうぞ,,,UDEMY_N5,2
to enter,はいる,入る,,UDEMY_N5,2
tea,おちゃ,お茶,,UDEMY_N5,2
water,みず,水,,UDEMY_N5,2
black tea,こうちゃ,紅茶,,UDEMY_N5,2
juice,ジュース,,,UDEMY_N5,2
this,この,,for noun,UDEMY_N5,2
that,その,,Near for noun,UDEMY_N5,2
that,あの,,Far for noun,UDEMY_N5,2
which,どの,,,UDEMY_N5,2
this,これ,,for direction,UDEMY_N5,2
that,それ,,near for direction,UDEMY_N5,2
that,あれ,,far for direction,UDEMY_N5,2
which,どれ,,,UDEMY_N5,2
human / people,ひと,人,,UDEMY_N5,2
beautiful,きれい,綺麗,,UDEMY_N5,2
family,かぞく,家族,,UDEMY_N5,2
how many people,なんにん,何人,,UDEMY_N5,2
all,ぜんぶ,全部,,UDEMY_N5,2
ten,じゅう,十,,UDEMY_N5,2
hundred,ひゃく,百,,UDEMY_N5,2
thousand,せん,千,,UDEMY_N5,2
ten thousand,まん,万,,UDEMY_N5,2
and / with,と,,a particle,UDEMY_N5,2
who,だれ,誰,,UDEMY_N5,2
Yes. Who is it?,はい。 どなたですか。,,,UDEMY_N5,2
"Hello. It's your colleague, Raj.",こんにちは、おなじかいしゃの ラジです。,,,UDEMY_N5,2
"Ah, Raj, Hello.",ああ、ラジさん、こんにちは。,,,UDEMY_N5,2
"here, the materials for tomorrow.",これ、あしたの しごとの しりょうです。,,,UDEMY_N5,2
Please have some tea.,おちゃです。 どうぞ。,,,UDEMY_N5,2
This person is my mother.,このひとは わたしの はは です。,,,UDEMY_N5,2
Your mother? She is pretty.,おかあさんですか、きれいですね。,,,UDEMY_N5,2
Is this person your younger brother?,このひとは おとうとさんですか。,,,UDEMY_N5,2
This person is not my younger brother. This person is my elder brother.,このひとは おとうとじゃ ありません。このひとは あにです。,,,UDEMY_N5,2
How many people are there in your family?,ごかぞくは なんにん ですか。,,,UDEMY_N5,2
"Father, Mother, my older brother and myself. I have 4 members in my family.",ちち、はは、あにと わたしです。 ぜんぶで 4 にんです。,,,UDEMY_N5,2
My wife and myself. Two members.,わたしとつまの ふたりです。,,,UDEMY_N5,2
May I come in?,ごめんください。,,,UDEMY_N5,2
Thank you.,"ありがとう ございます。",,,UDEMY_N5,2
Please come in.,どうぞ 入ってください。,,,UDEMY_N5,2
Excuse me for disturbing you.,おじゃまします。,,,UDEMY_N5,2
Please.,どうぞ。,,,UDEMY_N5,2
"Expression of gratitude before a meal.",いただきます。,,,UDEMY_N5,2
How many people are there in your family?,ごかぞくは なんにんですか。,,,UDEMY_N5,2
"These are tomorrow's work materials, right?",あしたの しごとの しりょうですね。,,,UDEMY_N5,2
"You came from India, didn't you?",インドから きましたね。,,,UDEMY_N5,2
"Miss Kim is Korean, isn't she？",キムさんは かんこくじんですね。,,,UDEMY_N5,2
This umbrella,このかさ,,,UDEMY_N5,2
That umbrella,そのかさ,,Near listener,UDEMY_N5,2
That umbrella,あのかさ,,Far away,UDEMY_N5,2
"Who is this person?",このひとは だれですか,,,UDEMY_N5,2
That bag is beautiful.,あのかばんは きれいです。,,,UDEMY_N5,2
That person is my father.,そのひとは わたしの ちちです。,,,UDEMY_N5,2
which umbrella,どのかさ ,,,UDEMY_N5,2
which magazine,どのざっし,,,UDEMY_N5,2
Whose water is this?,これは だれの みずですか,,,UDEMY_N5,2
That is juice.,あれは ジュースです。,,,UDEMY_N5,2
That is not my job.,それは わたしの しごとでは ありません。,,,UDEMY_N5,2
Which ones are Mr. Yamada's materials?,やまださんの しりょうは どれですか。,,,UDEMY_N5,2
grandmother,そぼ,,In relation to you,UDEMY_N5,2
grandfather,そふ,,In relation to you,UDEMY_N5,2
mother,はは,母,In relation to you,UDEMY_N5,2
father,ちち,父,In relation to you,UDEMY_N5,2
younger sister,いもうと,妹,In relation to you,UDEMY_N5,2
younger brother,おとうと,弟,In relation to you,UDEMY_N5,2
elder sister,あね,,In relation to you,UDEMY_N5,2
elder brother,あに,兄,In relation to you,UDEMY_N5,2
wife,つま,妻,In relation to you,UDEMY_N5,2
husband,おっと,,In relation to you,UDEMY_N5,2
Me / I,わたし,,In relation to you,UDEMY_N5,2
daughter,むすめ,,In relation to you,UDEMY_N5,2
son,むすこ,,In relation to you,UDEMY_N5,2
grandmother,おばあさん,,In relation to someone else,UDEMY_N5,2
grandfather,おじいさん,,In relation to someone else,UDEMY_N5,2
mother,おかあさん,お母さん,In relation to someone else,UDEMY_N5,2
father,おとうさん,お父さん,In relation to someone else,UDEMY_N5,2
younger sister,いもうとさん,妹さん,In relation to someone else,UDEMY_N5,2
younger brother,おとうとさん,弟さん,In relation to someone else,UDEMY_N5,2
elder sister,おねえさん,お姉さん,In relation to someone else,UDEMY_N5,2
elder brother,おにいさん,お兄さん,In relation to someone else,UDEMY_N5,2
wife,おくさん,奥さん,In relation to someone else,UDEMY_N5,2
husband,ごしゅじん,,In relation to someone else,UDEMY_N5,2
daughter,むすめさん,,In relation to someone else,UDEMY_N5,2
son,むすこさん,,In relation to someone else,UDEMY_N5,2
1 person,ひとり,1 人,,UDEMY_N5,2
2 people,ふたり,2 人,,UDEMY_N5,2
3 people,さんにん,3 人,,UDEMY_N5,2
4 people,よにん,4 人,,UDEMY_N5,2
5 people,ごにん,5 人,,UDEMY_N5,2
6 people,ろくにん,6 人,,UDEMY_N5,2
7 people,ななにん,7 人,,UDEMY_N5,2
8 people,はちにん,8 人,,UDEMY_N5,2
9 people,きゅうにん,9 人,,UDEMY_N5,2
10 people,じゅうにん,10 人,,UDEMY_N5,2
overseas,かいがい,海外,,UDEMY_N5,3
department,ぶ,部,suffix,UDEMY_N5,3
office work,じむ,,,UDEMY_N5,3
pocket notebook,てちょう,,,UDEMY_N5,3
notebook,ノート,,,UDEMY_N5,3
business card,めいし,名刺,,UDEMY_N5,3
fountain pen,まんねんひつ,万年筆,,UDEMY_N5,3
pencil,えんぴつ,鉛筆,,UDEMY_N5,3
ballpoint pen,ボールペン,,,UDEMY_N5,3
personal computer,パソコン,,,UDEMY_N5,3
computer,コンピューター,,,UDEMY_N5,3
desk,つくえ,机,,UDEMY_N5,3
chair,いす,椅子,,UDEMY_N5,3
clock,とけい,時計,,UDEMY_N5,3
picture,え,絵,,UDEMY_N5,3
cat,ねこ,猫,,UDEMY_N5,3
dog,いぬ,犬,,UDEMY_N5,3
top / on / above,うえ,上,location,UDEMY_N5,3
under / below,した,下,location,UDEMY_N5,3
left,ひだり,左,location,UDEMY_N5,3
right,みぎ,右,location,UDEMY_N5,3
next to,となり,隣,,UDEMY_N5,3
meeting,かいぎ,会議,,UDEMY_N5,3
meeting room,かいぎしつ,会議室,,UDEMY_N5,3
A.M. / morning,ごぜん,午前,In relation to time,UDEMY_N5,3
P.M. / afternoon,ごご,午後,In relaiton to time,UDEMY_N5,3
here,ここ,,,UDEMY_N5,3
there,そこ,,,UDEMY_N5,3
over there,あそこ,,,UDEMY_N5,3
where,どこ,,,UDEMY_N5,3
this place / this side,こちら,,polite,UDEMY_N5,3
that place / that side,そちら,,polite,UDEMY_N5,3
over there,あちら,,polite,UDEMY_N5,3
where / which,どちら,,polite,UDEMY_N5,3
there is / there are,ある,,,UDEMY_N5,3
dining hall / cafeteria,しょくどう,食堂,,UDEMY_N5,3
room,へや,部屋,,UDEMY_N5,3
outside,そと,外,,UDEMY_N5,3
inside,なか,中,,UDEMY_N5,3
